scenario_id,train_1_id,train_1_type,train_1_weight,train_1_speed,train_2_id,train_2_type,train_2_weight,train_2_speed,location,delay_risk
404,Vande Bharat Express (12542),High_Speed,430t,130 km/h,EMU Local (12620),Commuter,300t,80 km/h,Vijayawada Line,Low
405,BOXN Coal Rake (11309),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11504),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
406,Bhopal Shatabdi (11058),Express,550t,110 km/h,BOXN Coal Rake (11659),Freight,4500t,60 km/h,Vijayawada Line,Medium
407,Bhopal Shatabdi (12892),Express,550t,110 km/h,WAG-12 Heavy Freight (12029),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
408,Vande Bharat Express (12632),High_Speed,430t,130 km/h,EMU Local (12266),Commuter,300t,80 km/h,Nagpur Crossing,High
409,Rajdhani Express (11863),Express,600t,120 km/h,WAG-12 Heavy Freight (12623),Heavy Freight,6000t,75 km/h,Itarsi Junction,Medium
410,WAG-12 Heavy Freight (12401),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (12911),Freight,4500t,60 km/h,Kanpur Central,High
411,Bhopal Shatabdi (11504),Express,550t,110 km/h,Rajdhani Express (11811),Express,600t,120 km/h,Itarsi Junction,High
412,Vande Bharat Express (12439),High_Speed,430t,130 km/h,BOXN Coal Rake (12398),Freight,4500t,60 km/h,Bhusawal Block,Medium
413,Bhopal Shatabdi (12778),Express,550t,110 km/h,Vande Bharat Express (12909),High_Speed,430t,130 km/h,Kanpur Central,High
414,WAG-12 Heavy Freight (12023),Heavy Freight,6000t,75 km/h,Rajdhani Express (11730),Express,600t,120 km/h,Kanpur Central,Low
415,BOXN Coal Rake (12902),Freight,4500t,60 km/h,Bhopal Shatabdi (12356),Express,550t,110 km/h,Bhusawal Block,Low
416,Bhopal Shatabdi (11027),Express,550t,110 km/h,BOXN Coal Rake (12246),Freight,4500t,60 km/h,Vijayawada Line,Medium
417,WAG-12 Heavy Freight (12391),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11215),High_Speed,430t,130 km/h,Kanpur Central,Low
418,BOXN Coal Rake (11013),Freight,4500t,60 km/h,Bhopal Shatabdi (12458),Express,550t,110 km/h,Itarsi Junction,High
419,Bhopal Shatabdi (11312),Express,550t,110 km/h,Rajdhani Express (11028),Express,600t,120 km/h,Itarsi Junction,Low
420,BOXN Coal Rake (12076),Freight,4500t,60 km/h,EMU Local (12728),Commuter,300t,80 km/h,Vijayawada Line,High
421,EMU Local (11564),Commuter,300t,80 km/h,Bhopal Shatabdi (11382),Express,550t,110 km/h,Vijayawada Line,Medium
422,Vande Bharat Express (12484),High_Speed,430t,130 km/h,BOXN Coal Rake (12631),Freight,4500t,60 km/h,Itarsi Junction,High
423,BOXN Coal Rake (12982),Freight,4500t,60 km/h,EMU Local (11319),Commuter,300t,80 km/h,Nagpur Crossing,High
424,WAG-12 Heavy Freight (11616),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12094),Express,550t,110 km/h,Itarsi Junction,High
425,EMU Local (11984),Commuter,300t,80 km/h,BOXN Coal Rake (12005),Freight,4500t,60 km/h,Vijayawada Line,Low
426,Bhopal Shatabdi (12136),Express,550t,110 km/h,Rajdhani Express (12510),Express,600t,120 km/h,Vijayawada Line,High
427,WAG-12 Heavy Freight (12521),Heavy Freight,6000t,75 km/h,EMU Local (12560),Commuter,300t,80 km/h,Bhusawal Block,Low
428,BOXN Coal Rake (12951),Freight,4500t,60 km/h,Rajdhani Express (12323),Express,600t,120 km/h,Nagpur Crossing,Medium
429,WAG-12 Heavy Freight (11282),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12058),Express,550t,110 km/h,Vijayawada Line,High
430,Bhopal Shatabdi (11857),Express,550t,110 km/h,BOXN Coal Rake (12384),Freight,4500t,60 km/h,Bhusawal Block,High
431,Rajdhani Express (11287),Express,600t,120 km/h,Vande Bharat Express (12749),High_Speed,430t,130 km/h,Kanpur Central,High
432,EMU Local (11409),Commuter,300t,80 km/h,BOXN Coal Rake (12933),Freight,4500t,60 km/h,Bhusawal Block,Medium
433,Vande Bharat Express (11513),High_Speed,430t,130 km/h,BOXN Coal Rake (12294),Freight,4500t,60 km/h,Vijayawada Line,Medium
434,Vande Bharat Express (11254),High_Speed,430t,130 km/h,EMU Local (12710),Commuter,300t,80 km/h,Kanpur Central,Medium
435,EMU Local (12924),Commuter,300t,80 km/h,BOXN Coal Rake (11970),Freight,4500t,60 km/h,Vijayawada Line,Medium
436,Bhopal Shatabdi (12605),Express,550t,110 km/h,BOXN Coal Rake (11901),Freight,4500t,60 km/h,Bhusawal Block,Medium
437,WAG-12 Heavy Freight (11578),Heavy Freight,6000t,75 km/h,Rajdhani Express (11162),Express,600t,120 km/h,Bhusawal Block,Low
438,Rajdhani Express (11923),Express,600t,120 km/h,WAG-12 Heavy Freight (12941),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
439,WAG-12 Heavy Freight (11190),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11250),Freight,4500t,60 km/h,Kanpur Central,High
440,WAG-12 Heavy Freight (11866),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12876),Express,550t,110 km/h,Kanpur Central,Low
441,Vande Bharat Express (11353),High_Speed,430t,130 km/h,Rajdhani Express (12956),Express,600t,120 km/h,Nagpur Crossing,Medium
442,Vande Bharat Express (11749),High_Speed,430t,130 km/h,Bhopal Shatabdi (12846),Express,550t,110 km/h,Bhusawal Block,Low
443,EMU Local (12349),Commuter,300t,80 km/h,Rajdhani Express (11360),Express,600t,120 km/h,Vijayawada Line,High
444,WAG-12 Heavy Freight (12090),Heavy Freight,6000t,75 km/h,EMU Local (12533),Commuter,300t,80 km/h,Kanpur Central,Low
445,EMU Local (12658),Commuter,300t,80 km/h,BOXN Coal Rake (12726),Freight,4500t,60 km/h,Bhusawal Block,High
446,BOXN Coal Rake (11149),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12567),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
447,EMU Local (11687),Commuter,300t,80 km/h,Rajdhani Express (11605),Express,600t,120 km/h,Kanpur Central,Low
448,Vande Bharat Express (12659),High_Speed,430t,130 km/h,Rajdhani Express (11301),Express,600t,120 km/h,Bhusawal Block,High
449,BOXN Coal Rake (11509),Freight,4500t,60 km/h,Rajdhani Express (12820),Express,600t,120 km/h,Bhusawal Block,High
450,WAG-12 Heavy Freight (11852),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11783),Freight,4500t,60 km/h,Kanpur Central,Low
451,BOXN Coal Rake (12725),Freight,4500t,60 km/h,EMU Local (12049),Commuter,300t,80 km/h,Kanpur Central,Medium
452,Rajdhani Express (11519),Express,600t,120 km/h,EMU Local (11005),Commuter,300t,80 km/h,Kanpur Central,High
453,BOXN Coal Rake (11667),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12744),Heavy Freight,6000t,75 km/h,Bhusawal Block,High
454,EMU Local (11018),Commuter,300t,80 km/h,WAG-12 Heavy Freight (12329),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
455,EMU Local (12318),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11210),Heavy Freight,6000t,75 km/h,Kanpur Central,Medium
456,EMU Local (11234),Commuter,300t,80 km/h,BOXN Coal Rake (12642),Freight,4500t,60 km/h,Nagpur Crossing,Low
457,WAG-12 Heavy Freight (12665),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11368),High_Speed,430t,130 km/h,Itarsi Junction,High
458,Vande Bharat Express (11474),High_Speed,430t,130 km/h,Rajdhani Express (12155),Express,600t,120 km/h,Kanpur Central,High
459,Bhopal Shatabdi (11662),Express,550t,110 km/h,Vande Bharat Express (11817),High_Speed,430t,130 km/h,Itarsi Junction,Low
460,EMU Local (12789),Commuter,300t,80 km/h,Vande Bharat Express (11719),High_Speed,430t,130 km/h,Itarsi Junction,High
461,Bhopal Shatabdi (11387),Express,550t,110 km/h,Rajdhani Express (11273),Express,600t,120 km/h,Vijayawada Line,Low
462,Bhopal Shatabdi (11608),Express,550t,110 km/h,Rajdhani Express (12180),Express,600t,120 km/h,Nagpur Crossing,Medium
463,BOXN Coal Rake (12474),Freight,4500t,60 km/h,Vande Bharat Express (11510),High_Speed,430t,130 km/h,Kanpur Central,Medium
464,Bhopal Shatabdi (11300),Express,550t,110 km/h,WAG-12 Heavy Freight (12837),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Low
465,WAG-12 Heavy Freight (11927),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12873),High_Speed,430t,130 km/h,Nagpur Crossing,High
466,EMU Local (11654),Commuter,300t,80 km/h,Vande Bharat Express (12608),High_Speed,430t,130 km/h,Itarsi Junction,Low
467,WAG-12 Heavy Freight (11504),Heavy Freight,6000t,75 km/h,Rajdhani Express (11314),Express,600t,120 km/h,Bhusawal Block,Low
468,WAG-12 Heavy Freight (12604),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12785),Express,550t,110 km/h,Itarsi Junction,High
469,Bhopal Shatabdi (12797),Express,550t,110 km/h,Vande Bharat Express (11821),High_Speed,430t,130 km/h,Vijayawada Line,High
470,BOXN Coal Rake (11351),Freight,4500t,60 km/h,Vande Bharat Express (11750),High_Speed,430t,130 km/h,Vijayawada Line,Low
471,EMU Local (11899),Commuter,300t,80 km/h,Vande Bharat Express (11151),High_Speed,430t,130 km/h,Kanpur Central,Low
472,BOXN Coal Rake (12537),Freight,4500t,60 km/h,EMU Local (11451),Commuter,300t,80 km/h,Vijayawada Line,Low
473,Rajdhani Express (11048),Express,600t,120 km/h,BOXN Coal Rake (11586),Freight,4500t,60 km/h,Kanpur Central,Low
474,Rajdhani Express (11412),Express,600t,120 km/h,BOXN Coal Rake (11904),Freight,4500t,60 km/h,Itarsi Junction,Medium
475,Vande Bharat Express (11223),High_Speed,430t,130 km/h,BOXN Coal Rake (11827),Freight,4500t,60 km/h,Vijayawada Line,High
476,Vande Bharat Express (11344),High_Speed,430t,130 km/h,BOXN Coal Rake (12147),Freight,4500t,60 km/h,Kanpur Central,Medium
477,EMU Local (11991),Commuter,300t,80 km/h,BOXN Coal Rake (12452),Freight,4500t,60 km/h,Bhusawal Block,Low
478,Vande Bharat Express (11649),High_Speed,430t,130 km/h,EMU Local (12508),Commuter,300t,80 km/h,Vijayawada Line,Low
479,Bhopal Shatabdi (12512),Express,550t,110 km/h,EMU Local (11933),Commuter,300t,80 km/h,Bhusawal Block,High
480,Rajdhani Express (11715),Express,600t,120 km/h,Vande Bharat Express (12522),High_Speed,430t,130 km/h,Kanpur Central,Medium
481,Bhopal Shatabdi (11665),Express,550t,110 km/h,EMU Local (12528),Commuter,300t,80 km/h,Vijayawada Line,Medium
482,EMU Local (11196),Commuter,300t,80 km/h,Vande Bharat Express (11226),High_Speed,430t,130 km/h,Bhusawal Block,Low
483,EMU Local (12872),Commuter,300t,80 km/h,Bhopal Shatabdi (12116),Express,550t,110 km/h,Vijayawada Line,Medium
484,Vande Bharat Express (12064),High_Speed,430t,130 km/h,EMU Local (12876),Commuter,300t,80 km/h,Nagpur Crossing,Low
485,Vande Bharat Express (11529),High_Speed,430t,130 km/h,Bhopal Shatabdi (11680),Express,550t,110 km/h,Bhusawal Block,Low
486,EMU Local (12531),Commuter,300t,80 km/h,Bhopal Shatabdi (11213),Express,550t,110 km/h,Kanpur Central,Low
487,Rajdhani Express (12285),Express,600t,120 km/h,EMU Local (11291),Commuter,300t,80 km/h,Nagpur Crossing,Medium
488,BOXN Coal Rake (11414),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12656),Heavy Freight,6000t,75 km/h,Itarsi Junction,Medium
489,EMU Local (12981),Commuter,300t,80 km/h,Rajdhani Express (12291),Express,600t,120 km/h,Kanpur Central,Medium
490,WAG-12 Heavy Freight (11579),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (12550),Freight,4500t,60 km/h,Vijayawada Line,High
491,EMU Local (12937),Commuter,300t,80 km/h,Rajdhani Express (11576),Express,600t,120 km/h,Kanpur Central,Medium
492,BOXN Coal Rake (11537),Freight,4500t,60 km/h,Bhopal Shatabdi (12348),Express,550t,110 km/h,Nagpur Crossing,Low
493,Vande Bharat Express (11928),High_Speed,430t,130 km/h,Rajdhani Express (12292),Express,600t,120 km/h,Nagpur Crossing,Low
494,BOXN Coal Rake (12198),Freight,4500t,60 km/h,EMU Local (12629),Commuter,300t,80 km/h,Itarsi Junction,Medium
495,EMU Local (11677),Commuter,300t,80 km/h,BOXN Coal Rake (12911),Freight,4500t,60 km/h,Itarsi Junction,High
496,WAG-12 Heavy Freight (11306),Heavy Freight,6000t,75 km/h,EMU Local (11703),Commuter,300t,80 km/h,Kanpur Central,Low
497,Bhopal Shatabdi (12216),Express,550t,110 km/h,EMU Local (12472),Commuter,300t,80 km/h,Vijayawada Line,Medium
498,BOXN Coal Rake (12589),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12304),Heavy Freight,6000t,75 km/h,Nagpur Crossing,High
499,Rajdhani Express (12015),Express,600t,120 km/h,Vande Bharat Express (12459),High_Speed,430t,130 km/h,Vijayawada Line,High
500,BOXN Coal Rake (11971),Freight,4500t,60 km/h,EMU Local (12375),Commuter,300t,80 km/h,Nagpur Crossing,Low
